contig	start	end	is_active	read_count
chrLive	1	52	true	50
read	alt107	1	30
read	alt115	1	30
read	alt12	1	30
read	alt123	1	30
read	alt131	1	30
read	alt133	1	30
read	alt134	1	30
read	alt137	1	30
read	alt143	1	30
read	alt147	1	30
read	alt152	1	30
read	alt153	1	30
read	alt160	1	30
read	alt161	1	30
read	alt171	1	30
read	alt180	1	30
read	alt184	1	30
read	alt19	1	30
read	alt193	1	30
read	alt194	1	30
read	alt208	1	30
read	alt211	1	30
read	alt213	1	30
read	alt22	1	30
read	alt220	1	30
read	alt223	1	30
read	alt231	1	30
read	alt232	1	30
read	alt233	1	30
read	alt254	1	30
read	alt256	1	30
read	alt257	1	30
read	alt27	1	30
read	alt274	1	30
read	alt277	1	30
read	alt28	1	30
read	alt280	1	30
read	alt29	1	30
read	alt291	1	30
read	alt31	1	30
read	alt33	1	30
read	alt35	1	30
read	alt53	1	30
read	alt58	1	30
read	alt59	1	30
read	alt63	1	30
read	alt70	1	30
read	alt91	1	30
read	alt92	1	30
read	alt98	1	30
chrLive	53	63	false	50
read	alt107	1	30
read	alt115	1	30
read	alt12	1	30
read	alt123	1	30
read	alt131	1	30
read	alt133	1	30
read	alt134	1	30
read	alt137	1	30
read	alt143	1	30
read	alt147	1	30
read	alt152	1	30
read	alt153	1	30
read	alt160	1	30
read	alt161	1	30
read	alt171	1	30
read	alt180	1	30
read	alt184	1	30
read	alt19	1	30
read	alt193	1	30
read	alt194	1	30
read	alt208	1	30
read	alt211	1	30
read	alt213	1	30
read	alt22	1	30
read	alt220	1	30
read	alt223	1	30
read	alt231	1	30
read	alt232	1	30
read	alt233	1	30
read	alt254	1	30
read	alt256	1	30
read	alt257	1	30
read	alt27	1	30
read	alt274	1	30
read	alt277	1	30
read	alt28	1	30
read	alt280	1	30
read	alt29	1	30
read	alt291	1	30
read	alt31	1	30
read	alt33	1	30
read	alt35	1	30
read	alt53	1	30
read	alt58	1	30
read	alt59	1	30
read	alt63	1	30
read	alt70	1	30
read	alt91	1	30
read	alt92	1	30
read	alt98	1	30
