contig	pos	is_active
chrRepeat	1	true
chrRepeat	2	true
chrRepeat	3	true
chrRepeat	4	true
chrRepeat	5	true
chrRepeat	6	true
chrRepeat	7	true
chrRepeat	8	true
chrRepeat	9	true
chrRepeat	10	true
chrRepeat	11	true
chrRepeat	12	true
chrRepeat	13	true
chrRepeat	14	true
chrRepeat	15	true
chrRepeat	16	true
chrRepeat	17	true
chrRepeat	18	true
chrRepeat	19	true
chrRepeat	20	true
chrRepeat	21	true
chrRepeat	22	true
chrRepeat	23	true
chrRepeat	24	true
chrRepeat	25	true
chrRepeat	26	true
chrRepeat	27	true
chrRepeat	28	true
chrRepeat	29	true
chrRepeat	30	true
chrRepeat	31	true
chrRepeat	32	true
chrRepeat	33	true
chrRepeat	34	true
chrRepeat	35	true
chrRepeat	36	true
chrRepeat	37	true
chrRepeat	38	true
chrRepeat	39	true
chrRepeat	40	true
chrRepeat	41	true
chrRepeat	42	true
chrRepeat	43	true
chrRepeat	44	true
chrRepeat	45	true
chrRepeat	46	true
chrRepeat	47	true
chrRepeat	48	true
chrRepeat	49	true
chrRepeat	50	true
chrRepeat	51	true
chrRepeat	52	true
chrRepeat	53	true
chrRepeat	54	true
chrRepeat	55	true
chrRepeat	56	true
chrRepeat	57	true
chrRepeat	58	true
chrRepeat	59	true
chrRepeat	60	true
chrRepeat	61	false
chrRepeat	62	false
chrRepeat	63	false
chrRepeat	64	false
chrRepeat	65	false
chrRepeat	66	false
chrRepeat	67	false
chrRepeat	68	false
