contig	pos	is_active
chrLive	1	true
chrLive	2	true
chrLive	3	true
chrLive	4	true
chrLive	5	true
chrLive	6	true
chrLive	7	true
chrLive	8	true
chrLive	9	true
chrLive	10	true
chrLive	11	true
chrLive	12	true
chrLive	13	true
chrLive	14	true
chrLive	15	true
chrLive	16	true
chrLive	17	true
chrLive	18	true
chrLive	19	true
chrLive	20	true
chrLive	21	true
chrLive	22	true
chrLive	23	true
chrLive	24	true
chrLive	25	true
chrLive	26	true
chrLive	27	true
chrLive	28	true
chrLive	29	true
chrLive	30	true
chrLive	31	true
chrLive	32	true
chrLive	33	true
chrLive	34	true
chrLive	35	true
chrLive	36	true
chrLive	37	true
chrLive	38	true
chrLive	39	true
chrLive	40	true
chrLive	41	true
chrLive	42	true
chrLive	43	true
chrLive	44	true
chrLive	45	true
chrLive	46	true
chrLive	47	true
chrLive	48	true
chrLive	49	true
chrLive	50	true
chrLive	51	true
chrLive	52	true
chrLive	53	false
chrLive	54	false
chrLive	55	false
chrLive	56	false
chrLive	57	false
chrLive	58	false
chrLive	59	false
chrLive	60	false
chrLive	61	false
chrLive	62	false
chrLive	63	false
